subject,priority,destination,status
"Re: PY26000008 - CT 4480 // 324PAR - Terrestre","media","03_OPERACIONES/01_ABIERTAS","simulado"
"Are You Testing Your Emails the Right Way? ðŸ¤”","baja","00_PENDIENTE_TRIAGE","simulado"
"Resumen semanal de actualizaciones de productos","baja","00_PENDIENTE_TRIAGE","simulado"
"Tu resumen semanal de WPForms para joathilogistica.com","media","03_OPERACIONES/01_ABIERTAS","simulado"
"Re: EPUET2268 || **TRANSPORTE** xpd global Uruguay || COTMVD2290 || CLIENTE: NOROSEBE","media","03_OPERACIONES/01_ABIERTAS","simulado"
"NEWS Transporte Carretero |  NÂº 186 - Especial Mes de la Mujer - 3era. Parte, y muchas mÃ¡s!","baja","00_PENDIENTE_TRIAGE","simulado"
"Token de acceso vencido","alta","08_PENDIENTES_CRITICOS","simulado"
"Tu token de acceso estÃ¡ a punto de vencer","baja","00_PENDIENTE_TRIAGE","simulado"
"Re: PY26000008 - CT 4480 // 324PAR - Terrestre","media","03_OPERACIONES/01_ABIERTAS","simulado"
"rhernandez1, your slow site is costing you (literally)! ðŸ˜¶","baja","00_PENDIENTE_TRIAGE","simulado"
